as_of_date,ticker,entry_price,predicted_price,predicted_return_pct,confidence,rf_confidence,gb_confidence,rf_r2,gb_r2,agreement_pct,actual_price,actual_return_pct,direction_correct
2025-03-18,PUBM,9.425,9.79,3.87,0.4,0.0,0.8,0.0,0.0,2.5,10.46,10.98,True
2025-04-01,PUBM,9.275,9.46,1.99,0.0,0.0,0.0,0.0,0.0,0.7,7.77,-16.23,False
2025-04-15,PUBM,8.28,8.55,3.26,0.0,0.0,0.0,0.0,0.0,0.4,9.65,16.55,True
2025-04-30,PUBM,9.78,10.41,6.44,0.5,0.0,0.9,0.0,0.0,2.5,10.04,2.66,True
2025-05-14,PUBM,11.705,12.56,7.3,0.8,0.0,1.5,0.0,0.0,2.9,11.41,-2.52,False
2025-05-29,PUBM,11.805,11.85,0.38,0.6,0.0,1.1,0.0,0.0,0.2,11.95,1.23,True
2025-06-12,PUBM,11.19,11.3,0.98,0.5,0.0,0.9,0.0,0.0,0.7,11.025,-1.47,False
2025-06-27,PUBM,11.69,11.55,-1.2,2.2,0.5,3.9,0.0,0.0,2.3,12.44,6.42,False
2025-07-14,PUBM,12.815,13.36,4.25,6.5,6.9,6.1,0.07661865749259233,0.04424584502563611,3.7,12.78,-0.27,False
2025-07-28,PUBM,12.62,12.43,-1.51,2.1,3.3,1.0,0.0,0.0,1.4,11.67,-7.53,True
2025-08-11,PUBM,10.56,10.5,-0.57,2.0,3.1,1.0,0.0,0.0,2.0,8.46,-19.89,True
2025-08-25,PUBM,8.49,8.55,0.71,3.4,5.6,1.2,0.016419066263188342,0.0,2.7,8.525,0.41,True
2025-09-09,PUBM,8.51,8.49,-0.24,3.1,5.3,0.9,0.032003647690982184,0.0,2.0,8.415,-1.12,True
2025-09-23,PUBM,8.345,8.35,0.06,2.6,4.3,0.9,0.0,0.0,1.1,8.285,-0.72,False
2025-10-07,PUBM,8.255,8.37,1.39,3.3,3.3,3.3,0.0,0.0,1.1,8.25,-0.06,False
2025-10-21,PUBM,8.47,9.02,6.49,3.6,6.0,1.3,0.0,0.0,2.7,8.845,4.43,True
2025-11-04,PUBM,7.88,8.23,4.44,1.3,2.0,0.6,0.0,0.0,5.3,10.985,39.4,True
2025-11-18,PUBM,9.31,9.5,2.04,1.6,3.2,0.0,0.0,0.0,2.3,8.98,-3.54,False
2025-12-03,PUBM,9.02,9.15,1.44,0.2,0.4,0.0,0.0,0.0,0.9,9.175,1.72,True
2025-12-17,PUBM,8.92,9.19,3.03,0.6,0.0,1.2,0.0,0.0,0.4,9.02,1.12,True
2026-01-02,PUBM,8.595,9.02,4.94,0.5,0.0,0.9,0.0,0.0,3.0,8.375,-2.56,False
2026-01-16,PUBM,7.62,7.65,0.39,0.8,0.0,1.5,0.0,0.0,4.4,7.705,1.12,True
2026-02-02,PUBM,7.2,7.15,-0.69,1.8,2.2,1.4,0.005783073662698812,0.0,0.4,6.57,-8.75,True
2026-02-17,PUBM,6.295,6.06,-3.73,1.4,2.0,0.8,0.0,0.0,3.6,6.41,1.83,False
2026-03-03,PUBM,8.295,8.29,-0.06,0.8,1.2,0.4,0.0,0.0,0.6,8.51,2.59,False
2026-03-17,PUBM,8.17,8.21,0.49,0.0,0.0,0.0,0.0,0.0,1.1,7.995,-2.14,False
2026-03-31,PUBM,8.185,8.41,2.75,0.8,1.5,0.0,0.0,0.0,1.0,8.42,2.87,True
2026-04-15,PUBM,9.68,9.69,0.1,0.8,1.5,0.1,0.0,0.0,0.2,9.51,-1.76,False
2026-04-29,PUBM,9.73,9.82,0.92,1.1,1.5,0.8,0.0,0.0,2.1,10.13,4.11,True
2026-05-13,PUBM,9.48,9.47,-0.11,1.4,2.7,0.0,0.0,0.0,0.7,9.895,4.38,False
2026-05-28,PUBM,11.42,11.49,0.61,3.0,5.2,0.8,0.0,0.0,0.8,11.87,3.94,True
2026-06-11,PUBM,11.275,11.39,1.02,4.3,7.6,1.0,0.006929107023848302,0.0,0.4,11.29,0.13,True
2026-06-26,PUBM,12.65,12.81,1.26,4.8,7.1,2.5,0.0,0.0,0.5,13.54,7.04,True
