as_of_date,ticker,smartscore,setup,near_miss,has_signal,setup_strength,trend_context,volume_bonus,base_tightness_bonus,meaningful_level_bonus,fibonacci_bonus,entry_price,actual_price,actual_return_pct,direction_correct
2025-08-11,TLT,75.0,,True,True,0.0,10.0,-10.0,0.0,10.0,15.0,87.39,89.34,2.23,True
2025-08-25,TLT,90.0,Pullback,False,True,20.10883319025899,10.0,-10.0,0.0,10.0,10.0,86.81,89.17,2.72,True
2025-09-09,TLT,85.0,Breakout,False,True,30.203410753587214,10.0,5.0,12.0,0.0,-15.0,89.225,92.01,3.12,True
2025-09-23,TLT,76.0,Breakout,False,True,14.318374519298327,10.0,0.0,12.0,0.0,-10.0,89.34,89.94,0.67,True
2025-10-07,TLT,85.0,,True,True,0.0,10.0,0.0,0.0,10.0,15.0,89.17,89.055,-0.13,False
2025-10-21,TLT,85.0,Breakout,False,True,39.472563401341205,10.0,0.0,12.0,0.0,-15.0,92.01,89.05,-3.22,False
2025-11-04,TLT,100.0,Pullback,False,True,30.941686752582378,10.0,-10.0,0.0,10.0,15.0,89.94,87.82,-2.36,False
2025-11-18,TLT,100.0,Pullback,False,True,35.884892259467854,10.0,5.0,0.0,10.0,15.0,89.055,87.06,-2.24,False
2025-12-03,TLT,100.0,Pullback,False,True,29.003356062805736,10.0,-10.0,0.0,10.0,15.0,89.05,87.805,-1.4,False
2025-12-17,TLT,,,False,False,,,,,,,87.82,86.58,-1.41,False
2026-01-02,TLT,,,False,False,,,,,,,87.06,89.87,3.23,True
2026-01-16,TLT,,,False,False,,,,,,,87.805,89.435,1.86,True
2026-02-02,TLT,,,False,False,,,,,,,86.58,87.46,1.02,True
2026-02-17,TLT,81.0,Breakout,False,True,34.09931244690921,10.0,-10.0,12.0,0.0,-15.0,89.87,86.68,-3.55,False
2026-03-03,TLT,90.0,,True,True,0.0,10.0,5.0,0.0,10.0,15.0,89.435,86.825,-2.92,False
2026-03-17,TLT,,,False,False,,,,,,,87.46,85.695,-2.02,False
2026-03-31,TLT,,,False,False,,,,,,,86.68,84.8,-2.17,False
2026-04-15,TLT,,,False,False,,,,,,,86.825,85.72,-1.27,False
2026-04-29,TLT,,,False,False,,,,,,,85.695,85.97,0.32,True
2026-05-13,TLT,,,False,False,,,,,,,84.8,87.335,2.99,True
2024-09-09,XLE,,,False,False,,,,,,,43.29,45.08,4.13,True
2024-09-23,XLE,,,False,False,,,,,,,44.55,44.78,0.52,True
2024-10-07,XLE,85.0,Breakout,False,True,35.3851454730131,10.0,5.0,12.0,0.0,-15.0,46.77,47.99,2.61,True
2024-10-21,XLE,75.0,,True,True,0.0,10.0,-10.0,0.0,10.0,15.0,45.08,47.25,4.81,True
2024-11-04,XLE,,,False,False,,,,,,,44.78,43.3,-3.31,False
2024-11-18,XLE,73.0,Breakout,False,True,38.888843332301334,10.0,-10.0,0.0,0.0,-15.0,47.99,43.33,-9.71,False
2024-12-03,XLE,75.0,,True,True,0.0,10.0,-10.0,0.0,10.0,15.0,47.25,46.99,-0.55,False
2024-12-17,XLE,,,False,False,,,,,,,43.3,44.08,1.8,True
2025-01-02,XLE,,,False,False,,,,,,,43.33,45.65,5.35,True
2025-01-17,XLE,,,False,False,,,,,,,46.99,43.5,-7.43,False
2025-02-03,XLE,,,False,False,,,,,,,44.08,45.68,3.63,True
